Date,CNRG,XLE,XLU
2018-10-23,27.45391845703125,52.14396667480469,44.87258529663086
2018-10-24,27.45391845703125,50.08515930175781,45.96277618408203
2018-10-25,27.45391845703125,50.69826126098633,45.24707794189453
2018-10-26,26.342803955078125,50.31980514526367,44.41487121582031
2018-10-29,26.342803955078125,49.381221771240234,45.03902816772461
2018-10-30,26.342803955078125,50.524169921875,45.213783264160156
2018-10-31,26.342803955078125,50.834510803222656,44.68117904663086
2018-11-01,26.342803955078125,51.26594543457031,44.48145294189453
2018-11-02,26.342803955078125,51.13726806640625,44.23178482055664
2018-11-05,26.342803955078125,51.992591857910156,44.85594177246094
2018-11-06,28.000221252441406,52.234806060791016,45.15553283691406
2018-11-07,28.000221252441406,53.090110778808594,45.67150115966797
2018-11-08,28.000221252441406,51.93959426879883,45.59660720825195
2018-11-09,28.000221252441406,51.84877014160156,45.663177490234375
2018-11-12,28.000221252441406,50.77394485473633,45.63821792602539
2018-11-13,27.657623291015625,49.60830307006836,45.82961654663086
2018-11-14,27.657623291015625,49.52503204345703,45.35527420043945
2018-11-15,28.10207176208496,50.251678466796875,44.980777740478516
2018-11-16,28.277999877929688,50.849639892578125,45.67150115966797
2018-11-19,28.277999877929688,50.834510803222656,45.8712272644043
2018-11-20,27.70391845703125,49.169281005859375,45.6798210144043
2018-11-21,27.70391845703125,49.941341400146484,45.0057373046875
2018-11-23,27.70391845703125,48.37452697753906,45.030704498291016
2018-11-26,27.70391845703125,49.101158142089844,45.2970085144043
2018-11-27,27.70391845703125,48.96491622924805,45.63821792602539
2018-11-28,27.70391845703125,49.805091857910156,45.604923248291016
2018-11-29,27.70391845703125,50.13056945800781,45.588279724121094
2018-11-30,28.90763282775879,50.039737701416016,46.26237869262695
2018-12-03,29.45393180847168,51.15241241455078,46.7284049987793
2018-12-04,29.250226974487305,49.68398666381836,46.761695861816406
2018-12-06,28.833555221557617,48.768123626708984,46.81162643432617
2018-12-07,28.620588302612305,48.49563217163086,46.986392974853516
2018-12-10,28.602073669433594,47.738712310791016,47.07793426513672
2018-12-11,28.537263870239258,47.753849029541016,47.26934814453125
2018-12-12,28.78725814819336,47.943084716796875,46.9697380065918
2018-12-13,28.78725814819336,48.09446334838867,47.377525329589844
2018-12-14,28.39836883544922,46.99693298339844,47.28598403930664
2018-12-17,27.52799415588379,46.14162826538086,45.76305389404297
2018-12-18,27.379846572875977,45.05167007446289,45.45512390136719
2018-12-19,27.379846572875977,44.52181625366211,45.3802375793457
2018-12-20,26.527984619140625,43.288047790527344,45.35527420043945
2018-12-21,26.139095306396484,42.86784744262695,45.16139602661133
2018-12-24,25.27581024169922,41.13357162475586,43.27302169799805
2018-12-26,26.32587432861328,43.692962646484375,43.86051940917969
2018-12-27,26.32587432861328,43.92216110229492,44.22979736328125
2018-12-28,26.58606719970703,43.58599853515625,44.33890151977539
2018-12-31,26.669696807861328,43.81520080566406,44.41443634033203
2019-01-02,26.790502548217773,44.67852020263672,43.650691986083984
2019-01-03,26.54889678955078,44.23540115356445,43.64229965209961
2019-01-04,27.580373764038086,45.74047088623047,44.288543701171875
2019-01-07,27.9242000579834,46.42042922973633,43.98640441894531
2019-01-08,28.11004638671875,46.77951431274414,44.53193664550781
2019-01-09,28.193681716918945,47.52058410644531,44.26337814331055
2019-01-10,28.602558135986328,47.65810012817383,44.842472076416016
2019-01-11,28.68619155883789,47.375423431396484,44.67460632324219
2019-01-14,28.42599868774414,47.26082229614258,43.66747283935547
2019-01-15,28.611848831176758,47.42891311645508,44.204620361328125
2019-01-16,28.899919509887695,47.3677864074707,44.36408233642578
2019-01-17,29.150815963745117,47.80326461791992,44.54871368408203
2019-01-18,29.030012130737305,48.77354049682617,44.59907150268555
2019-01-22,28.59326171875,47.71158218383789,44.683006286621094
2019-01-23,28.59326171875,47.222625732421875,45.13621139526367
2019-01-24,29.327377319335938,47.4747428894043,45.371212005615234
2019-01-25,29.61544418334961,48.07830047607422,44.750152587890625
2019-01-28,29.661911010742188,47.59699249267578,44.54032897949219
2019-01-29,29.699077606201172,47.742149353027344,44.66622543334961
2019-01-30,30.08936882019043,48.41444778442383,45.01031494140625
2019-01-31,30.739845275878906,48.727699279785156,45.95870590209961
2019-02-01,30.312387466430664,49.57573318481445,45.78246307373047
2019-02-04,30.47965431213379,49.69032669067383,45.85797882080078
2019-02-05,30.702682495117188,49.7667350769043,45.9503173828125
2019-02-06,30.67479705810547,49.400028228759766,45.925132751464844
2019-02-07,30.49823760986328,48.30750274658203,46.5294075012207
2019-02-08,30.433195114135742,48.085941314697266,46.73084259033203
2019-02-11,30.68408966064453,48.315147399902344,46.714046478271484
2019-02-12,30.814189910888672,48.92633819580078,46.82316207885742
2019-02-13,30.888532638549805,49.537532806396484,46.688873291015625
2019-02-14,31.11155128479004,49.71324920654297,46.61333084106445
2019-02-15,31.009326934814453,50.515445709228516,46.756011962890625
2019-02-19,31.613351821899414,50.66823959350586,47.03297805786133
2019-02-20,31.473960876464844,50.88216781616211,47.24278259277344
2019-02-21,31.54829978942871,50.09524154663086,47.58689498901367
2019-02-22,32.11514663696289,50.240421295166016,47.880645751953125
2019-02-25,32.05939483642578,50.32444763183594,47.57011032104492
2019-02-26,32.06867980957031,50.16400909423828,47.511375427246094
2019-02-27,32.0872688293457,50.355003356933594,47.57011032104492
2019-02-28,32.096561431884766,49.850772857666016,47.847068786621094
2019-03-01,32.05939483642578,50.76756286621094,47.947784423828125
2019-03-04,31.86425018310547,50.85926055908203,48.031715393066406
