Date,ACA,ADT,AEE,AEP,AES,AGR,ALE,AMAT,AMPS,AMRC,AMSC,APA,ARRY,ATO,AWK,AY,BE,BKR,BLDP,CEG,CMI,CMS,CNP,COP,CSIQ,CTRA,CVX,D,DQ,DTE,DUK,DVN,EBR,ED,EIX,ENIC,ENPH,EOG,EQT,ES,ETR,EVRG,EXC,FANG,FE,FLNC,FSLR,GEV,GLW,GNE,GNRC,HAL,HES,HY,JKS,KMI,LNT,MNTK,MPC,MRO,NEE,NI,NOVA,NRG,NXT,OKE,ORA,OXY,PCG,PEG,PLUG,PNW,PPL,PSX,RNW,ROCK,RUN,SEDG,SHLS,SLB,SO,SPWR,SRE,TAC,TPIC,TRGP,TSLA,VLO,VMI,VST,WEC,WMB,XAEU24,XEL,XOM
2018-11-05,28.482851028442383,6.32047700881958,55.06931686401367,60.00083541870117,12.708033561706543,37.64739990234375,59.816165924072266,32.12092590332031,,15.399999618530273,7.550000190734863,33.501346588134766,,81.08771514892578,79.71981811523438,13.177781105041504,23.010000228881836,22.509349822998047,2.9200000762939453,,122.93475341796875,41.44633865356445,23.085186004638672,56.89492416381836,14.15999984741211,20.24822235107422,92.576904296875,54.69813537597656,5.236000061035156,79.70112609863281,65.88813018798828,24.739891052246094,5.721678733825684,61.57342529296875,53.71343994140625,3.0794835090637207,5.389999866485596,84.07376861572266,18.178054809570312,52.37367630004883,67.68952941894531,45.44368362426758,25.874380111694336,93.99906158447266,29.64515495300293,,43.93000030517578,,27.903656005859375,4.560382843017578,52.650001525878906,32.10213851928711,53.68489074707031,56.75617218017578,10.036803245544434,12.274596214294434,36.1943359375,,57.12896728515625,17.26099967956543,37.30400848388672,21.504060745239258,,32.59602355957031,,43.78362274169922,52.763614654541016,60.90925216674805,48.62509536743164,43.683319091796875,1.9199999570846558,66.18888854980469,23.703208923339844,79.2772216796875,,33.81999969482422,12.65999984741211,39.095001220703125,,44.13159942626953,35.606449127197266,4.165029048919678,46.749996185302734,4.907574653625488,26.3700008392334,42.44656753540039,22.760000228881836,70.90567016601562,122.52976989746094,21.561805725097656,56.523807525634766,18.135440826416016,,40.82474899291992,61.50540542602539
2018-11-06,27.700620651245117,6.00855827331543,55.42708969116211,60.7763557434082,13.50070571899414,38.1955451965332,60.13458251953125,32.635677337646484,,15.3100004196167,7.539999961853027,33.287391662597656,,82.9738998413086,80.52417755126953,13.946024894714355,17.25,22.76923370361328,2.990000009536743,,124.02880859375,41.7867546081543,23.345516204833984,57.28230285644531,13.779999732971191,20.14666748046875,92.54576110839844,55.040802001953125,5.394000053405762,80.74168395996094,66.47940063476562,24.612836837768555,5.554943084716797,62.53702926635742,53.85403823852539,3.0727012157440186,5.150000095367432,84.84852600097656,18.00836181640625,52.83149337768555,68.53192901611328,45.99216842651367,25.95051383972168,91.87580108642578,29.916690826416016,,42.83000183105469,,28.17374610900879,5.202339172363281,54.11000061035156,32.120094299316406,53.703189849853516,56.525604248046875,9.19482135772705,12.409717559814453,36.539852142333984,,55.99064254760742,16.928525924682617,37.467891693115234,21.645044326782227,,32.298152923583984,,43.60559844970703,47.713722229003906,63.86111831665039,48.495323181152344,43.51091384887695,1.909999966621399,67.1728744506836,23.749177932739258,79.5611343383789,,34.540000915527344,12.970000267028809,37.619998931884766,,44.23352813720703,35.93693161010742,4.0471510887146,47.011619567871094,4.935458183288574,26.93000030517578,42.233970642089844,22.737333297729492,71.0068130493164,123.47050476074219,21.138681411743164,57.083946228027344,18.149547576904297,,41.448917388916016,61.769100189208984
2018-11-07,28.834850311279297,6.090643405914307,56.25333023071289,61.331478118896484,13.154967308044434,38.807247161865234,60.74755096435547,32.991329193115234,,15.5,9.350000381469727,33.70637130737305,,84.05168914794922,81.41886901855469,14.520474433898926,18.010000228881836,22.677017211914062,2.9200000762939453,,125.4134292602539,42.23781967163086,23.782196044921875,57.7191276550293,14.609999656677246,19.89668846130371,94.07911682128906,55.438018798828125,5.611999988555908,81.65569305419922,66.77105712890625,25.30794334411621,5.405757904052734,63.37107467651367,54.447723388671875,3.221926689147949,5.639999866485596,86.28731536865234,17.57126235961914,53.588958740234375,69.17257690429688,46.12122344970703,26.161346435546875,93.90182495117188,30.148290634155273,,44.16999816894531,,28.70548439025879,5.427438735961914,56.130001068115234,32.694793701171875,55.73560333251953,57.83220672607422,9.156549453735352,12.445273399353027,36.93593215942383,,57.17808532714844,17.094764709472656,37.922420501708984,21.69480323791504,,32.6811408996582,,43.86577606201172,51.23130798339844,64.19200134277344,48.71493911743164,43.50270462036133,1.9299999475479126,67.76009368896484,24.024974822998047,81.3277816772461,,35.40999984741211,13.1899995803833,38.75,,44.4373664855957,36.99135971069336,4.2174201011657715,48.82232666015625,5.019110679626465,27.479999542236328,43.313323974609375,23.21066665649414,72.02584838867188,125.15435791015625,21.337291717529297,57.501956939697266,18.671323776245117,,41.752567291259766,62.55259704589844
2018-11-08,32.198429107666016,6.6488165855407715,56.47480392456055,61.09259796142578,13.213995933532715,38.322654724121094,61.05005645751953,32.70119857788086,,15.239999771118164,9.479999542236328,32.11064910888672,,83.30419158935547,80.74217987060547,14.416659355163574,18.09000015258789,22.425512313842773,2.890000104904175,,125.00318145751953,42.12717819213867,23.563852310180664,55.14761734008789,14.319999694824219,19.70920753479004,92.90377807617188,55.46917724609375,5.131999969482422,81.82443237304688,66.47940063476562,24.455875396728516,5.221470355987549,63.29819107055664,54.2212028503418,3.1676626205444336,5.809999942779541,82.88800048828125,17.895227432250977,53.722145080566406,69.03470611572266,46.08896255493164,26.20819854736328,89.67150115966797,30.108362197875977,,42.66999816894531,,28.781444549560547,5.71090030670166,54.75,31.76090431213379,54.22503662109375,58.002994537353516,8.706854820251465,12.487944602966309,36.93593215942383,,55.44194412231445,16.669931411743164,38.01420593261719,21.528940200805664,,31.48113250732422,,43.79730987548828,51.53969192504883,63.24288558959961,47.71668243408203,43.48628234863281,1.940000057220459,69.48206329345703,24.101579666137695,77.81819915771484,,34.689998626708984,12.59000015258789,37.7599983215332,,43.808868408203125,36.65300750732422,4.099542140960693,48.99259948730469,4.9726362228393555,25.334999084472656,42.716400146484375,23.426666259765625,68.99982452392578,127.37451934814453,20.940078735351562,57.76112747192383,18.01557159423828,,41.60918045043945,61.55815887451172
2018-11-09,31.8562068939209,6.443605422973633,57.34364700317383,62.039825439453125,13.087506294250488,38.85490417480469,61.177406311035156,32.08348083496094,,14.930000305175781,9.170000076293945,33.055606842041016,,84.04300689697266,81.39618682861328,14.430500984191895,19.450000762939453,21.3859806060791,2.819999933242798,,122.28517150878906,42.67185592651367,23.622638702392578,54.99924850463867,14.270000457763672,20.006057739257812,93.02055358886719,56.271392822265625,5.124000072479248,83.06182098388672,67.46480560302734,24.67262840270996,5.5110650062561035,63.97028732299805,47.651527404785156,3.0794835090637207,5.559999942779541,83.40974426269531,18.46088409423828,54.2215690612793,69.3833999633789,47.064945220947266,26.37803840637207,92.2647933959961,30.347957611083984,,42.220001220703125,,28.325674057006836,5.760922908782959,54.5099983215332,31.41070556640625,54.15179443359375,54.971343994140625,8.601607322692871,12.466609001159668,37.593238830566406,,55.01609802246094,16.47598648071289,38.58236312866211,21.69480323791504,,32.57900619506836,,43.194820404052734,51.03855895996094,64.04398345947266,39.85041809082031,44.15946960449219,1.8700000047683716,70.20419311523438,24.277788162231445,78.66206359863281,,33.529998779296875,12.300000190734863,37.43000030517578,,42.806636810302734,36.833980560302734,4.092992782592773,48.465171813964844,4.944753170013428,25.59000015258789,41.33450698852539,23.367332458496094,68.12857055664062,125.58712768554688,20.79328155517578,58.521915435791016,17.860450744628906,,42.46110153198242,61.54296112060547
2018-11-12,29.63663101196289,6.115267753601074,58.25507354736328,62.76466751098633,13.087506294250488,39.04556655883789,61.814273834228516,30.52985191345215,,14.359999656677246,9.350000381469727,32.137393951416016,,84.0256118774414,82.9130859375,14.174420356750488,19.700000762939453,19.818288803100586,2.9700000286102295,,123.38776397705078,43.1484489440918,23.59744644165039,53.68876266479492,13.859999656677246,19.834197998046875,91.37042999267578,57.19041442871094,5.0,83.70165252685547,67.73283386230469,23.581375122070312,5.528615951538086,64.26990509033203,41.839603424072266,3.052351474761963,5.429999828338623,80.04204559326172,17.812950134277344,54.50457763671875,69.667236328125,47.83927917480469,26.776288986206055,89.33113861083984,30.9788761138916,,42.709999084472656,,26.764211654663086,5.802607536315918,53.58000183105469,30.67438316345215,52.6046028137207,53.20357894897461,8.54419994354248,12.423940658569336,38.08200454711914,,53.96787643432617,15.940335273742676,39.004112243652344,21.645044326782227,,33.87263488769531,,42.71556091308594,50.16157913208008,62.833621978759766,32.922515869140625,44.1512565612793,1.850000023841858,70.513671875,24.162874221801758,77.02953338623047,,32.84000015258789,12.4399995803833,35.189998626708984,,41.99977493286133,36.89692687988281,4.1519317626953125,47.92528533935547,4.935458183288574,24.040000915527344,40.492279052734375,22.0853328704834,66.87615203857422,122.34162139892578,21.25094223022461,59.23252487182617,17.50789451599121,,43.1105842590332,60.751495361328125
2018-11-13,30.193971633911133,6.443605422973633,58.6298713684082,62.95412063598633,12.994744300842285,39.824092864990234,62.244144439697266,31.3441162109375,,14.300000190734863,9.720000267028809,31.41531753540039,,83.79092407226562,82.7859115600586,14.035998344421387,18.510000228881836,19.952421188354492,3.059999942779541,,123.50736999511719,43.1484489440918,23.698219299316406,52.518375396728516,13.399999618530273,20.69349479675293,89.78260803222656,57.649925231933594,4.285999774932861,84.33441925048828,68.0718002319336,23.095552444458008,5.2741241455078125,64.64168548583984,43.386329650878906,3.011653423309326,5.440000057220459,77.8838882446289,17.532554626464844,54.7459716796875,69.65914154052734,48.17804718017578,26.887563705444336,87.40237426757812,30.891016006469727,,42.45000076293945,,27.034303665161133,5.67755126953125,54.900001525878906,28.97722625732422,51.23134994506836,52.990081787109375,8.017960548400879,12.217703819274902,38.02301025390625,,52.55110549926758,15.210737228393555,39.041255950927734,21.528940200805664,,33.532203674316406,,41.770729064941406,49.35205078125,61.631980895996094,32.66297149658203,43.92139434814453,1.809999942779541,70.82315063476562,24.431007385253906,74.76602935791016,,33.66999816894531,12.130000114440918,36.279998779296875,,40.207664489746094,37.19594192504883,4.020956039428711,48.17861557006836,4.926164627075195,23.440000534057617,39.10218811035156,22.582000732421875,65.00919342041016,121.19392395019531,21.000524520874023,59.403602600097656,17.14828872680664,,43.33832931518555,59.358848571777344
2018-11-14,30.164640426635742,6.353312015533447,58.55319595336914,62.70700454711914,12.851391792297363,39.67316436767578,62.364410400390625,31.4283447265625,,14.520000457763672,8.760000228881836,32.19980239868164,,84.56453704833984,82.09557342529297,13.68994140625,17.290000915527344,19.407499313354492,2.890000104904175,,125.64398193359375,43.00375747680664,23.289424896240234,52.84807205200195,13.710000038146973,20.185728073120117,90.07059478759766,57.36176681518555,4.323999881744385,83.87040710449219,68.12698364257812,22.82647705078125,5.2653489112854,64.89498138427734,42.081764221191406,3.038785696029663,5.400000095367432,77.52812957763672,16.512344360351562,54.46295928955078,69.32665252685547,48.347434997558594,26.68398094177246,88.09931182861328,30.611501693725586,,42.540000915527344,,26.662931442260742,5.560832977294922,55.54999923706055,28.959274291992188,51.28627395629883,52.315425872802734,8.266728401184082,12.047025680541992,37.6353645324707,,52.28084945678711,15.404680252075195,38.6391716003418,21.22209358215332,,33.225826263427734,,41.33255386352539,49.37132263183594,61.780025482177734,25.54539680480957,44.25798416137695,1.7999999523162842,70.02168273925781,24.65317726135254,75.39697265625,,34.970001220703125,12.59000015258789,37.43000030517578,,40.60685729980469,37.29824447631836,3.9816629886627197,46.82889938354492,4.907574653625488,23.709999084472656,38.170021057128906,22.933332443237305,64.0523681640625,120.5260009765625,20.59467315673828,58.93173599243164,17.451486587524414,,43.15275192260742,58.89462661743164
2018-11-15,30.63397979736328,6.492856025695801,59.10688400268555,63.25065612792969,13.003178596496582,39.323612213134766,62.949729919433594,32.77607727050781,,14.75,8.84000015258789,32.975372314453125,,85.9726333618164,83.63976287841797,13.399252891540527,15.460000038146973,19.6694278717041,2.880000114440918,,127.03960418701172,43.10589599609375,23.365751266479492,53.74645233154297,15.229999542236328,20.029495239257812,91.91761016845703,57.205997467041016,4.638000011444092,83.88443756103516,68.64337158203125,22.886272430419922,5.440859794616699,62.54170608520508,36.86354064941406,3.113399028778076,5.539999961853027,80.31082153320312,16.247844696044922,55.10389709472656,69.71591186523438,48.46842956542969,26.878711700439453,90.96005249023438,31.002826690673828,,44.08000183105469,,27.206199645996094,5.435775279998779,56.31999969482422,29.13886260986328,52.38488006591797,53.99778747558594,8.687719345092773,12.210592269897461,38.02301025390625,,53.525634765625,15.838738441467285,39.154884338378906,20.989891052246094,,33.361995697021484,,42.01036071777344,50.103759765625,63.208038330078125,17.709077835083008,44.676666259765625,1.840000033378601,70.38671112060547,23.36612319946289,75.89382934570312,,34.869998931884766,13.119999885559082,38.2400016784668,,40.836177825927734,37.12512969970703,4.1126389503479,46.089683532714844,4.963342666625977,24.56999969482422,38.57887268066406,23.229333877563477,64.77583312988281,122.37922668457031,20.11111068725586,59.41202926635742,17.627761840820312,,43.329891204833984,59.50344467163086
2018-11-16,30.60464096069336,6.615981578826904,59.03021240234375,63.440086364746094,13.079071998596191,39.72876739501953,64.12838745117188,33.13172149658203,,14.829999923706055,8.880000114440918,33.36761474609375,,86.07691955566406,84.7025146484375,13.745312690734863,16.040000915527344,19.745466232299805,2.8299999237060547,,126.73809814453125,43.420772552490234,23.518413543701172,54.496482849121094,16.0,20.107608795166016,93.57597351074219,57.330589294433594,4.849999904632568,83.68758392333984,69.07367706298828,22.093996047973633,5.748005390167236,62.91758728027344,42.534854888916016,3.154097318649292,5.449999809265137,83.16468048095703,15.709396362304688,55.8031005859375,69.99971008300781,48.49261474609375,27.07343864440918,92.74087524414062,30.96289825439453,,44.369998931884766,,27.189228057861328,5.414690971374512,56.79999923706055,29.147838592529297,52.8060188293457,54.40769577026367,8.879077911376953,12.288820266723633,38.1325798034668,,53.591156005859375,15.87568187713623,39.41930389404297,21.30503273010254,,33.421566009521484,,42.58546447753906,50.653076171875,63.89595031738281,24.35746955871582,44.57815170288086,1.840000033378601,70.08517456054688,23.618938446044922,76.83224487304688,,35.029998779296875,13.069999694824219,38.599998474121094,,40.95508575439453,37.3722038269043,4.263260841369629,47.705177307128906,5.046994209289551,24.90999984741211,38.840538024902344,23.62066650390625,65.30479431152344,123.06600189208984,20.43924331665039,59.749061584472656,17.71942710876465,,43.06841278076172,60.089420318603516
